title;singer;album;producer;distributor;is_popular;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow;times_in_chart;first_time_in_chart_date;first_time_in_chart_year;first_time_in_chart_month;first_time_in_chart_quarter;first_time_in_chart_period
花요일 (blooming day);exo-cbx;blooming days - the 2nd mini album;sm entertainment;dreamus;0;0;0;0;False;4kmp56RAtXEzHOANS0BaLX;album;199845;False;0.00511;0.735;0.736;0.0;0.165;-3.266;0.27699999999999997;0.813;117.975;3Lz3vEN23Fw0hIelrYEzUD;0;0;2;2018-06-01;2018;6;2;summer
가까이;taeyeon;아름다운 그대에게 ost `가까이`;sm entertainment;지니뮤직;1;0;0;0;False;2RFARAcVRcWaBO0H4Q2hBC;compilation;243610;False;0.434;0.563;0.363;0.0;0.126;-6.21;0.0266;0.29;136.079;3qNVuliS40BLgXGxhdBdqu;1;0;1;2012-09-01;2012;9;3;other
가까이 (stay);beast;time;큐브엔터테인먼트;universal music;0;0;0;0;False;1CJlxGRmgGf4tWV44ORCz6;single;205740;False;0.151;0.711;0.9059999999999999;0.0;0.204;-2.52;0.0784;0.9390000000000001;123.0;1Pr9gT0veB2tgcisQeIGoC;0;0;1;2014-10-01;2014;10;4;other
가까이 가까이;verbal jint-sep-as one;천번째 남자 ost part 5;스타엔트리엔터테인먼트;warner music;0;0;0;0;True;4MpvH8x6YPNp47jtwDeVj2;compilation;209226;False;0.648;0.6829999999999999;0.8190000000000001;0.0;0.204;-4.103;0.15;0.61;94.96700000000001;24sQuJhQ85ZygDG7sUVUxR-sep-1MF797sg8WfxKRXELhlqtT;1;0;1;2012-09-01;2012;9;3;other
가끔;zia;그녀는 예뻤다 ost part 2;본팩토리월드와이드;카카오 m;1;0;0;0;False;0OtjUV1mxN4idSXfdKFCOu;single;236360;False;0.6859999999999999;0.485;0.599;0.0;0.325;-5.785;0.0495;0.21100000000000002;133.597;2vAxwTAH2OaInCfMxriCqk;1;0;2;2015-10-01;2015;10;4;other
가끔;crush;가끔;아메바컬쳐;카카오 m;1;0;0;0;False;58ZIufs7Zhs8kaNZDd1k4m;single;263644;False;0.19;0.674;0.585;0.0;0.0735;-4.703;0.11699999999999999;0.6409999999999999;92.184;6aLdhHUqgdKE86xbtNmY8g;0;0;1;2014-04-01;2014;4;2;other
가끔 (feat. crush, 기리보이);geeks;가끔;how엔터테인먼트,grandline;카카오 m;1;0;0;0;True;2ub9mtu4PfQVeG8DNjjNB0;single;260224;False;0.45799999999999996;0.858;0.6459999999999999;0.0;0.152;-3.3810000000000002;0.154;0.46299999999999997;88.921;5VxfguafjfSdJcN10ACVZe;0;0;1;2016-11-01;2016;11;4;holiday
가끔 (with you);exo;don`t mess up my tempo - the 5th album;sm entertainment;dreamus;0;0;0;0;False;5XBSIKuDdWjTTvn2TDZftZ;album;188544;False;0.223;0.623;0.74;0.0;0.431;-7.051;0.0403;0.38299999999999995;134.9;3cjEqqelV9zb4BYE3qDQ4O;0;0;2;2018-11-01;2018;11;4;holiday
가끔 내가;kim na young;가끔 내가;네버랜드;카카오 m;0;0;0;0;False;5XzD6hhgghasbRIGEL8FVJ;single;216084;False;0.38299999999999995;0.525;0.55;0.0;0.0919;-5.426;0.0447;0.265;133.388;4dvmLXorXADxVq8EcySEWk;0;0;1;2014-07-01;2014;7;3;summer
가끔 이러다;punch;가끔 이러다;냠냠엔터테인먼트;카카오 m;1;0;0;0;False;7hnmYFL1AeiRJyYpIBAMVM;single;220514;False;0.5;0.635;0.496;0.0;0.258;-7.143;0.0326;0.562;84.895;2FgZrgTMX6Sk0VNcOsEPmm;0;0;2;2019-09-01;2019;9;3;other
가끔은 혼자 웁니다;kim yeon woo;나쁜남자 ost;어치브그룹디엔;카카오 m;0;0;0;0;False;7LSf4qEJhW07Ww9RPvFKsP;single;216725;False;0.573;0.473;0.5329999999999999;5.15e-05;0.17600000000000002;-6.002999999999999;0.0373;0.32299999999999995;135.94899999999998;4vsTrZ8Y7nKqQM0BJQ6Dvd;1;0;2;2010-07-01;2010;7;3;summer
가드올리고 bounce;bobby;쇼미더머니3 part 5;stone music entertainment;stone music entertainment;1;0;0;0;False;57rRA1qppk0KefNMrsO1hG;single;182431;False;0.249;0.767;0.894;0.0;0.255;-1.618;0.139;0.45299999999999996;139.98;7ieMQQDR0bdBPz572mtxwS;0;1;1;2014-09-01;2014;9;3;other
가라고 (gotta go);sunmi;엑스엑스 (xx) ost part.1;playlist;블렌딩;0;0;0;0;False;6fYDnLnVFV0n3FMxgEnIcg;single;179119;False;0.00636;0.6559999999999999;0.61;0.0283;0.166;-6.692;0.0378;0.187;130.984;6MoXcK2GyGg7FIyxPU5yW6;1;0;1;2020-02-01;2020;2;1;other
